label,price,pub_month,click,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,44.9,12,42,9.0,367.0,17,30,63,16,1,79,28,100
1,34.2,14,77,8.6,198.0,13,40,100,18,1,35,26,82
0,36.4,15,29,8.3,1228.0,12,29,67,3,10,29,46,52
1,30.5,2,66,8.6,2069.0,19,37,69,16,4,15,17,43
1,44.8,6,88,8.9,734.0,19,40,37,20,7,40,30,82
0,39.7,14,54,9.1,2736.0,20,37,99,12,9,13,46,55
0,46.6,13,87,9.1,3758.0,16,38,54,1,9,37,35,98
0,23.8,4,53,9.1,1108.0,10,20,98,18,7,22,12,71
1,27.6,7,78,8.8,264.0,14,20,66,9,4,69,31,82
1,35.4,5,23,7.5,423.0,14,36,94,19,9,42,85,46
0,50.8,14,5,9.1,1004.0,12,35,50,4,10,33,36,65
0,32.8,4,85,8.7,6445.0,20,37,49,16,4,67,98,41
0,36.8,8,5,8.2,232.0,12,32,67,11,10,38,79,31
1,50.3,8,2,8.5,565.0,10,28,78,3,6,95,97,99
0,24.7,11,65,8.9,8444.0,19,21,39,17,9,56,17,100
0,32.2,12,7,8.2,3171.0,14,30,86,20,10,49,38,84
0,36.1,5,97,8.8,14784.0,16,40,23,4,5,33,68,43
1,39.8,14,84,8.0,340.0,20,33,54,2,9,11,49,12
0,30.7,7,27,7.0,3727.0,20,28,92,5,7,68,68,93
0,36.2,7,48,8.1,1008.0,12,20,80,8,4,92,28,34
0,48.2,12,69,7.6,1016.0,17,21,72,18,2,31,87,33
0,26.1,7,29,9.2,1043.0,13,37,86,18,5,11,69,86
1,22.6,14,37,9.1,350.0,20,22,89,16,9,92,26,76
1,50.8,4,44,7.8,8482.0,14,31,88,4,6,36,70,89
1,36.6,4,40,7.6,312.0,10,28,31,16,1,49,73,27
0,44.9,3,21,7.5,515.0,14,35,84,20,7,93,78,88
1,49.9,10,99,8.2,500.0,19,38,76,7,7,91,83,81
0,42.7,12,25,7.8,402.0,11,29,65,6,6,49,12,16
1,22.2,5,69,6.5,114.0,14,32,49,5,4,77,42,44
1,30.5,3,56,7.4,10292.0,14,39,81,6,7,54,81,40
1,50.3,2,63,7.7,17352.0,18,40,24,4,5,61,76,52
1,21.3,2,1,8.1,64.0,10,23,22,3,9,92,57,89
1,44.5,4,95,9.2,2534.0,10,32,47,19,3,71,76,24
0,24.5,5,72,7.8,3168.0,10,35,32,6,2,53,96,71
1,37.2,14,97,8.3,11298.0,19,32,22,13,3,79,92,70
1,38.5,3,71,1.6,99,19,31,81,9,6,78,37,62
0,44.5,3,27,8.7,2770.0,16,24,87,17,3,48,22,90
0,41.8,5,52,7.9,2465.0,10,21,86,11,5,100,81,75
0,50.8,2,79,7.9,10639.0,12,27,37,8,9,57,42,40
1,45.6,5,61,8.0,293.0,16,39,30,9,3,43,52,63
0,39.9,1,24,8.5,210.0,10,22,21,13,2,41,25,44
1,32.1,5,80,8.7,32102.0,12,33,87,6,9,74,30,33
0,39.2,3,83,9.1,2982.0,16,39,61,5,10,10,28,87
1,40.5,7,1,8.3,267.0,13,39,33,18,6,14,100,47
0,45.4,6,16,8.7,5308.0,19,22,91,7,2,63,81,28
0,27.7,9,54,7.8,432.0,14,39,82,9,4,46,72,43
0,38.6,10,88,7.7,127.0,12,35,20,6,6,73,58,73
0,30.3,3,28,8.4,3200.0,16,32,20,1,8,31,100,80
0,42.6,10,1,7.9,689.0,19,24,99,18,1,21,71,61
1,22.7,11,68,8.6,160.0,15,32,97,5,6,29,29,83
1,42.3,1,71,7.6,629.0,10,40,49,14,4,93,97,82
1,31.8,15,19,7.8,250.0,17,25,57,6,6,45,36,21
1,46.4,6,28,8.8,1717.0,16,37,30,12,8,15,76,31
0,38.5,8,64,8.1,1072.0,17,32,54,17,8,34,49,46
0,41.8,7,97,8.3,993.0,16,40,65,19,2,54,82,81
0,48.8,12,9,7.6,1040.0,11,20,62,4,8,31,71,60
0,36.5,2,9,8.4,1554.0,17,28,25,3,6,87,22,100
0,31.4,4,87,7.7,164.0,11,24,49,15,5,50,13,95
1,36.5,4,29,9.4,629.0,12,40,39,20,3,58,49,85
0,20.7,9,43,8.2,270.0,18,26,45,7,2,50,45,29
0,33.1,15,19,8.7,778.0,15,20,35,18,5,71,89,42
0,35.4,5,58,8.4,4284.0,13,23,98,2,10,26,47,34
1,27.1,14,75,9.1,2247.0,11,35,54,1,1,82,65,41
0,25.5,6,55,8.4,13278.0,14,33,69,18,9,69,71,69
1,44.1,8,59,8.7,457.0,13,30,48,1,7,52,74,91
1,35.4,14,16,8.5,515.0,13,30,91,5,4,49,50,46
0,22.4,3,45,8.8,671.0,12,23,61,16,8,74,67,98
1,33.4,15,62,8.8,179.0,13,40,96,4,10,67,31,100
0,26.4,2,37,9.0,463.0,11,27,61,17,1,91,86,72
1,20.8,1,84,8.6,1555.0,13,22,23,11,9,10,85,62
1,41.9,12,15,8.9,1528.0,15,23,36,1,8,50,64,74
1,46.8,14,48,8.4,3229.0,14,22,42,17,8,57,13,94
1,43.5,1,96,8.7,897.0,10,28,56,16,7,14,64,58
1,22.6,7,37,8.7,4609.0,10,27,59,4,4,82,95,50
0,50.5,5,62,9.1,4356.0,11,30,48,2,9,31,58,91
0,34.2,15,83,8.5,1003.0,16,28,57,4,7,84,54,81
1,50.8,1,63,8.0,3545.0,10,22,65,8,8,19,59,14
0,26.4,10,79,9.2,943.0,13,20,88,14,2,95,43,11
0,21.8,13,51,8.6,595.0,18,28,76,15,4,32,65,40
1,22.9,7,81,8.1,3568.0,19,23,54,12,3,49,66,50
0,27.9,14,69,8.0,99.0,20,30,82,16,5,47,56,14
1,36.2,14,53,8.4,228.0,12,36,70,4,9,61,70,91
0,47.5,10,19,7.7,36.0,20,34,68,4,2,35,41,68
0,23.8,4,95,8.8,65.0,13,37,77,13,1,81,25,43
0,44.8,7,80,8.7,640.0,13,24,36,13,9,43,88,86
1,44.1,2,62,8.6,340.0,13,34,85,7,4,79,11,65
1,36.4,13,98,9.0,1603.0,18,31,80,15,8,67,94,58
1,48.5,11,85,8.7,481.0,12,40,69,12,4,68,72,61
1,36.6,14,31,8.8,816.0,17,31,33,4,2,41,78,21
1,28.2,7,20,8.5,1178.0,11,35,94,14,9,14,60,51
0,32.5,9,10,9.0,67.0,15,35,61,15,2,10,58,64
0,48.2,2,12,8.9,130.0,20,25,41,18,7,56,71,44
1,41.7,4,40,8.0,484.0,12,38,97,19,7,80,90,100
0,49.2,8,61,8.9,418.0,10,37,39,16,3,11,66,29
0,26.6,5,51,9.7,119.0,18,32,27,9,4,95,19,26
1,21.7,1,81,9.3,67.0,17,31,62,20,3,20,48,68
1,36.3,7,71,8.4,465.0,10,34,43,19,3,89,47,99
0,36.5,11,34,8.5,1449.0,13,33,51,5,5,21,24,13
1,27.4,4,62,8.1,371.0,12,24,81,3,9,48,68,34
0,38.8,5,16,9.1,135.0,13,29,47,9,4,47,79,30
0,41.1,8,97,8.4,295.0,12,40,38,20,5,58,39,23
0,32.9,5,64,8.7,438.0,11,21,28,17,3,90,71,85
1,40.7,8,6,9.1,41.0,10,33,52,11,5,39,33,13
1,31.1,13,49,8.8,525.0,10,35,62,5,10,16,36,36
1,30.6,7,30,9.5,93.0,19,25,66,9,3,63,96,65
0,29.9,7,5,8.4,56.0,18,37,69,14,6,84,66,56
0,45.9,2,50,7.8,1569.0,10,33,44,8,4,31,64,25
0,35.3,3,24,8.4,70.0,14,34,86,15,2,22,13,89
0,40.9,15,54,9.4,1912.0,12,32,79,20,4,98,17,53
1,35.7,2,100,9.6,102.0,20,29,84,8,4,26,27,41
1,44.2,14,15,9.3,50.0,13,36,22,13,7,39,40,41
1,42.1,5,16,7.8,265.0,11,23,88,4,8,93,68,19
0,40.1,9,19,8.0,199.0,12,34,39,20,10,53,51,54
1,38.6,5,21,9.4,138.0,18,21,84,1,7,69,15,26
1,45.3,3,56,9.0,769.0,10,29,92,19,1,16,23,95
1,34.7,5,44,9.0,367.0,14,35,84,3,3,16,85,68
0,33.7,12,51,9.5,65.0,11,25,33,10,2,76,24,14
1,50.7,9,83,8.9,169.0,15,28,65,3,6,34,63,11
1,39.4,4,24,9.4,636.0,12,26,30,19,4,86,63,22
0,28.5,14,86,9.6,1441.0,12,35,43,12,5,78,44,58
1,29.7,11,39,8.1,8103.0,17,40,99,8,7,74,81,21
1,41.2,4,54,8.0,12327.0,20,23,45,20,9,65,36,12
